Stats of reconstructed arrays at lod: 6
Stats of reconstructed arrays at lod: 0
        RMS: 0.374625, max error: 7.62584
        RMS: 0.331622, max error: 5.72562
        RMS: 0.308093, max error: 5.06428
        RMS: 0.291174, max error: 5.85046
        RMS: 0.274368, max error: 4.47801
        RMS: 0.259984, max error: 4.52785
        RMS: 0.250572, max error: 4.94812
        RMS: 0.246896, max error: 3.97643
        RMS: 0.244968, max error: 4.78838
        RMS: 0.243798, max error: 4.17153
        RMS: 0.239921, max error: 4.42628
        RMS: 0.235435, max error: 4.28244
        RMS: 0.233136, max error: 4.28472
        RMS: 0.228545, max error: 4.6262
        RMS: 0.225401, max error: 4.93854
        RMS: 0.2201, max error: 4.0357
Stats of arrays using timer interval compression at lod: 0
        RMS: 0.957834, max error: 127.209
        RMS: 0.822891, max error: 88.1938
        RMS: 0.768977, max error: 218.677
        RMS: 0.701794, max error: 66.2998
        RMS: 0.652735, max error: 54.2015
        RMS: 0.603482, max error: 35.6714
        RMS: 0.57324, max error: 31.7362
        RMS: 0.560534, max error: 33.6304
        RMS: 0.568936, max error: 53.0615
        RMS: 0.616196, max error: 83.3829
        RMS: 0.59191, max error: 67.3634
        RMS: 0.587161, max error: 51.9699
        RMS: 0.594819, max error: 57.5101
        RMS: 0.590009, max error: 45.178
        RMS: 0.604129, max error: 45.347
        RMS: 0.645129, max error: 85.53
